"content","username","tweet_published_at","type"
"Uang bisa di cari tapi coldplay ke Indonesia cari uang","ariyawib","2023-05-11 08:45:04+07","tweet"
"uang bisa dicari tapi coldplay ke indonesia hanya sekali","nunoad1ra","2023-05-11 08:41:30+07","tweet"
"Perihal COLDPLAY.

""Uang bisa dicari, tapi COLDPLAY ke Indonesia hanya sekali"".

""Tgl 15 November , hari cuti for COLDPLAY ke Indonesia"".

Selera dan kenikmatan seseorang berbeda beda kan yah, masing masing aja. M","kautsarwicak10","2023-05-11 07:23:10+07","tweet"
"Coldplay ke Indonesia itu biasa aja. yang ketat ketir tuh kalau THE WEEKEND KE INDONESIA. KAYAK TOLONG INFO JUAL BELI GINJAL PLS😭😭😭😭","babymauuu","2023-05-11 06:56:51+07","tweet"
"Jalan jalan bisa terhenti 
Tapi @coldplay ke indonesia hanya sekali.
Info jual sertifikat tanah dibawah ini","Sego_karak13","2023-05-11 06:16:31+07","tweet"
"uang bisa dicari, tapi coldplay ke indonesia hanya sekali","lohemaupergi","2023-05-11 06:16:03+07","tweet"
"@kixtchen duit bisa dicari, tapi Coldplay ke Indonesia cuma sekali. letsgoo!!","adammmsan","2023-05-11 05:59:09+07","replied_to"
"@cisiasf hari rabu datang tiap minggu tapi coldplay ke Indonesia cuma sekali 🙏🙏

*koreksi kata kata nya biar ky di tiktok","iamshrkhd","2023-05-11 04:18:41+07","replied_to"
"Uang bisa di cari, tapi coldplay ke indonesia cuman sekali, klik link di bawah untuk foto ktpmu dan dokumen penting lainnya.","moegiag","2023-05-11 00:45:35+07","tweet"
"ya Allah duit bisa dicari, tapi coldplay ke indonesia cuma.sekali, sedangkan gue gapunya duit sama sekali","kukihyungi","2023-05-11 00:38:38+07","tweet"
"Akhirnya Konser di Jakarta, Promotor Beberkan Proses Datangkan Coldplay ke Indonesia https://t.co/0dFKmottS5","putri_ayuandii","2023-05-10 23:35:15+07","tweet"
"Tetap stay nunggu BMTH ke indonesia, di era gempurang orang lain yang gak sabar, nunggu coldplay ke indonesia.","Galuhhhh666","2023-05-12 20:04:00+07","tweet"
"Makan dan kerja bisa dicari , tapi messi dan coldplay ke indonesia jarang kemari mari all in","achmadfahrul26","2023-05-10 23:34:40+07","tweet"
"@kazenoshippo @txtfrombrand duit bisa dicari anying, coldplay cuma sekali ini doang, besok besok gw kaya raya tapi gatau kapan lagi coldplay ke indonesia","Thesinnerishere","2023-05-10 23:28:15+07","replied_to"
"@Indomieaceh4 Uang bisa dicari, coldplay ke Indonesia cuma sekali
Yuk gadaikan ktpmu","dimasadan_","2023-05-10 23:08:39+07","replied_to"
"""uang bisa dicari, tapi coldplay ke Indonesia cuman sekali""

ya tinggal gw upgrade kapasitas diri biar bisa nonton konser coldplay di luar negeri lah gilakk🤣🤣","paleeisme","2023-05-10 22:53:16+07","tweet"
"uang bisa dicari, Coldplay ke Indonesia kapan lagi. ingpo p1nj0l bayar nya setengah ☝️😔","rosieanaa7","2023-05-10 22:49:49+07","tweet"
"@ssefnum pusing mikirin kalau coldplay ke indonesia terus indonesia kemana?","masihnooob","2023-05-10 22:11:35+07","replied_to"
"@MafiaWasit Memang kapan Coldplay ke Indonesia sebelum skrg? Kalau Fifa Matchday sih sering yaa...","JoeArifiando92","2023-05-10 21:47:28+07","replied_to"
