content	username
['coldplay']	gepreksogood
['konser', 'indonesia', 'kepastiannya', 'mei', 'doain', 'samasama', 'coldplay', 'beneran', 'konser', 'indonesia', 'coldplay', 'sandiuno', 'konsercoldplay', 'konsercoldplayjakarta']	oppal_id
['show', 'coldplay', 'muji', 'bts', 'kemanamana', 'army']	rmjsjjvjk_bts
['anjrottttt', 'liatttttttttttt', 'txt', 'november', 'coldplay', 'pilihan', 'sulid']	althafviani
['menara', 'bca']	Rjulinas13
['beli', 'lm', 'pt', 'nonton', 'konser', 'coldplay']	Kyrzkyw
['tulatu', 'kn', 'coldplay', 'hahha']	dumexzi
['november', 'coldplay', 'indon', 'malaysia', 'around']	dialoque_
['nape', 'mikirin', 'outfit', 'konsernya', 'sihh']	nisaafifa10
['kumpul', 'duit', 'coldplay', 'mcm', 'konpem']	fadhilrithwan
['cerita', 'coldplay', 'update', 'yakan']	wesly_damanik
['mahil', 'ah', 'tiketnya', 'coldplay']	Sh4mmmm
['yaallah', 'balapan', 'coldplay', 'november', 'beneran']	captainameliza
['coldplay']	amirshariman
['brp', 'nonton', 'coldplay', 'indo']	winteervbearr
['hola', 'esyic', 'interessada']	emmaespinaltx
['wakakkaka', 'onrepeat', 'coldplay']	believinmine
['butuh', 'alien2an', 'promosiin', 'mots', 'asia', 'jalan']	xrbrxv
['rilll', 'cui', 's23', 'ultra', 'bole', 'laa', 'coldplay', 'nnt']	anggiamlhh
['huwaa', 'sumpaa', 'pilih', 'salah', 'hemat', 'hemat', 'mo', 'nonton', 'coldplay']	enadermehinhir
['knp', 'q', 'kpikiran', 'sjenis', 'coldplay', 'sabarrrrrr', 'letsss', 'aespa', 'wtmw오늘당신의_세계에있는_에스파', 'welcometomyworld', 'aespa']	aiyunho99
['coldplay', 'opener', 'diperesmian', 'bukit', 'om']	txtdarisukabumi
['sarinah', 'fotofoto', 'nonton', 'coldplay', 'cakep', 'cakep']	changgoroo
['latihan', 'nonton', 'coldplay', 'beneran', 'screen', 'x', 'diisi', 'sesi', 'fotbar', 'tambahan', 'personil']	funkizeu
['coldplay']	Too_awesomee
['minplay', 'informasikan', 'salah', 'easter', 'coldplay', 'era', 'musicofthespheresworldtour']	IDWantsColdplay
['easter', 'minplay', 'bantuan', 'coldplayers', 'id', 'jeli', 'daerah', 'berkemunkinan', 'venue', 'videopostersinyal', 'radio', 'alien']	IDWantsColdplay
['akun', 'kode', 'amp', 'enskripsi', 'sumber', 'informasi', 'musicofthespheres', 'era', 'aktif', 'amp', 'menrt', 'berita', 'terkait', 'motswt', 'asian', 'announcement', 'mei', 'let', 'wait', 'keep', 'indonesiawantscoldplay', 'coldplayjakarta']	IDWantsColdplay
['borosss', 'nonton', 'coldplay', 'coldplay', 'indo', 'sihhh', 'ahahhaa']	tearrrdrops
['noh', 'rumah', 'sy', 'msh', 'konser', 'coldplay', 'n', 'dr', 'masjid', 'ketemu']	sigitraharjo101
['iyaa', 'coldplay', 'standup', 'comedy']	bestl234
['hadiah', 'ultahnya', 'coldplay', 'dikasih', 'tour', 'dates', 'indo']	carapherneliar
['taklah', 'coldplay', 'semalam', 'bt', 'kena', 'paksa']	_jebatfuu
['sakit', 'hati', 'cowo', 'ditreat', 'diputusin', 'sakit', 'hati', 'sampe', 'doel', 'duet', 'coldplay']	mirajmee
['nikahnya', 'nonton', 'coldplay', 'ajah']	taroaddicts
['duit', 'juta', 'dibeliin']	tatssuomi
['takut', 'coldplay', 'baubaunyaa']	saosambalnim
['jaman', 'smp', 'suka', 'coldplay', 'cmn', 'haha']	halfbprincess
['cenah']	riyudianto
['bismillah', 'nonton', 'coldplay', 'yaallah', 'plis', 'permudah', 'pertemuan', 'nie']	wlcmhoney
['coldplay']	rimbasurya
[]	pratamsz
['nonton', 'coldplay']	madforgarlicc
['coldplay', 'confirmed', 'life', 'time', 'crisis']	shndw
['om', 'coldplay', 'om', 'temen', 'nonton']	NKM0TOYUTA
['seru', 'coldplay', 'keren']	shasimi99
['handphone', 's20', 's21', 'tiket', 'coldplay', 'bismillah']	skjnlsvttn
['maneh', 'coldplay', 'indonesia', 'setahun', 'pisan']	putrimeid
['patut', 'serious', 'benau', 'kemain', 'laju', 'lari', 'ditemani', 'coldplay', 'je', 'member', 'lintas']	huddkhalessi
['iyaaa', 'okeee', 'sabaarrr', 'sabarrr']	jackjackparrr
['yuu']	nnataliagomezx
['buka', 'jastip', 'coldplay']	DYS_debhy
['coldplay', 'naz']	murxv_
['pertunjukantuturbatin', 'live', 'concert', 'juni', 'jatim', 'expo', 'surabaya', 'juni', 'tennis', 'indoor', 'senayan', 'jakarta', 'penjualan', 'tiket', 'mei']	yurayunita
['wishlist', 'konser', 'coldplay', 'beneran', 'indo']	amannjiwo
['sparks', 'coldplay', 'sakit', 'ati']	berry4gin
['buka', 'jastip', 'coldplay']	noona_be_like
['mei']	AditGustiana
['pdhl', 'konser', 'coldplay', 'ts', 'post', 'template', 'dr']	Jaychee_A
['takyah', 'coldplay']	lilslothhh
['coldplay', 'maaf', 'ler', 'layan']	firanamiaho
['weh', 'u', 'beli', 'ticket', 'coldplay']	SyazaRahizad
['konser', 'coldplay']	Iyaaaa_iniaku
['beliin', 'tiket', 'coldplay']	tiraMIssY0oU
['resmi', 'coldplay', 'mei', 'tur', 'asia']	arigum
['bmth', 'coldplay', 'prnah', 'debat']	buatandedek
['dpt', 'tiket', 'coldplay']	masasihguys
['scared', 'coldplay', 'buka', 'jauh2', 'announcement']	myloxylohope
